"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-10-31,62080,"11368","NY","New York","Queens","New York",0,363600,0.0147920736812727,0.0216352908120259,0.0424311926605505,0.0656309042552612,0.0448805059027209,"2015-10","2015-Q4",363600,0,"2015-10"
2015-10-31,93144,"79936","TX","El Paso","El Paso","El Paso",1,111500,-0.00268336314847943,-0.00623885918003565,-0.0106477373558119,-0.00873496300808929,0.0112486874010556,"2007-12","2007-Q4",131000,-0.148854961832061,"2006-07"
2015-10-31,84630,"60629","IL","Chicago","Cook","Chicago",2,139700,-0.00427655024946543,0.0014336917562724,0.0386617100371747,0.0152788227884901,-0.0433045367836429,"2006-07","2006-Q3",232900,-0.400171747531129,"2002-06"
2015-10-31,96193,"90650","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Norwalk",3,397400,0.00480404551201011,0.0179303278688525,0.0688542227003765,0.064453494650502,-0.0125945873272226,"2006-08","2006-Q3",490100,-0.189145072434197,"2005-03"
2015-10-31,62037,"11226","NY","New York","Kings","New York",4,569300,0.0189726149991051,0.0509507107254938,0.150333400687007,0.0876037469455131,0.0507240114973329,"2015-10","2015-Q4",569300,0,"2015-10"
2015-10-31,62093,"11385","NY","New York","Queens","New York",5,528300,0.00916905444126074,0.0286214953271028,0.0854735976987877,0.0433976958609694,0.0177194765808844,"2015-10","2015-Q4",528300,0,"2015-10"
2015-10-31,96083,"90201","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Bell",6,357200,0.0042170368287883,0.0139086006244678,0.0681818181818182,0.0750957201746998,-0.0132332990179802,"2007-02","2007-Q1",470600,-0.240968975775606,"2005-03"
2015-10-31,96125,"90280","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","South Gate",7,357400,0.0104608425219112,0.0264215967834578,0.0853325235347707,0.0769538167140913,-0.0142357598320367,"2007-04","2007-Q2",474900,-0.247420509580964,"2005-02"
2015-10-31,61639,"10025","NY","New York","New York","New York",8,1234300,-0.0185273536895674,0.0133825944170772,0.223654208387033,0.108309624735448,0.057844510009504,"2015-08","2015-Q3",1259500,-0.0200079396585947,"2015-08"
2015-10-31,62044,"11234","NY","New York","Kings","New York",9,475600,0.00805426027977957,0.0223559759243336,0.0540780141843972,0.0181468950035761,0.00683094065608958,"2007-11","2007-Q4",509700,-0.0669020992740828,"2006-03"
2015-10-31,84620,"60618","IL","Chicago","Cook","Chicago",10,321500,0.0116425424795469,0.0199873096446701,0.0301185517462352,0.0266376337591743,-0.00221234285339145,"2006-11","2006-Q4",349600,-0.0803775743707094,"2005-05"
2015-10-31,62030,"11219","NY","New York","Kings","New York",11,687900,0.0173025732031943,0.0394378966455122,0.0141530296329058,0.0811446767234541,0.0511281993876369,"2015-01","2015-Q1",694100,-0.00893243048552082,"2014-12"
2015-10-31,62046,"11236","NY","New York","Kings","New York",12,371900,0.0122482308111051,0.0362217887991084,0.0604505275163958,0.00446908650077193,0.00256333239661566,"2007-12","2007-Q4",454000,-0.180837004405286,"2005-12"
2015-10-31,96361,"91331","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",13,383400,0.00498034076015727,0.0172459538339082,0.0812182741116751,0.0886782710543665,-0.0180925629552685,"2006-09","2006-Q3",514100,-0.254230694417429,"2004-12"
2015-10-31,61148,"08701","NJ","New York","Ocean","Lakewood Township",14,279200,0.00685178507032095,0.0264705882352941,0.0595825426944972,0.0365735790599251,-0.0109191429298362,"2006-03","2006-Q1",321000,-0.130218068535826,"2004-11"
2015-10-31,96816,"92335","CA","Riverside","San Bernardino","Fontana",15,269500,0.00223131275567125,0.00823045267489712,0.0673267326732673,0.113835987345048,-0.0255190933384203,"2006-06","2006-Q2",387200,-0.303977272727273,"2004-11"
2015-10-31,62019,"11208","NY","New York","Kings","New York",16,360700,0.00557568999163646,0.0358989086731763,0.104747320061256,0.0329670614817821,0.00817389815579617,"2008-02","2008-Q1",447700,-0.194326557962922,"2006-04"
2015-10-31,91733,"77084","TX","Houston","Harris","Houston",17,146400,0.00342700479780672,0.012448132780083,0.104072398190045,0.0527831611910852,0.0173205092983655,"2015-10","2015-Q4",146400,0,"2015-10"
2015-10-31,62085,"11373","NY","New York","Queens","New York",18,347300,-0.0161473087818697,-0.0371499861380649,-0.0448294829482948,0.0217996144858761,,"2014-11","2014-Q4",365200,-0.0490142387732749,"2014-08"
2015-10-31,95992,"90011","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",19,333100,-0.00388755980861244,0.00969990906335253,0.0932064325566131,0.138688873090855,-0.00603885657878422,"2007-04","2007-Q2",428200,-0.222092480149463,"2005-08"
2015-10-31,84639,"60639","IL","Chicago","Cook","Chicago",20,188100,0.0189599133261105,0.0421052631578947,0.0250681198910082,0.0210424976762058,-0.0391035923058862,"2006-09","2006-Q3",300600,-0.374251497005988,"2002-05"
2015-10-31,62018,"11207","NY","New York","Kings","New York",21,339700,0.00176938956060159,0.0256642512077295,0.0756808106396454,0.0235351271770508,0.00802649968033431,"2007-12","2007-Q4",389400,-0.127632254750899,"2006-03"
